# Adapted from https://simplemaps.com/data/world-cities
Kara-Kulja;40.6333
Flero;45.4835
Cícero Dantas;-10.6000
Yenipazar;37.8269
Palpalá;-24.2500
Drawsko Pomorskie;53.5333
As Sidrah;30.6294
Si Racha;13.1740
Tha Bo;17.8494
Fareham;50.8500
Darāw;24.4000
Andranomanelatra;-19.7833
Banjul;13.4531
Suzhou;31.3000
Clausthal-Zellerfeld;51.8050
Palafolls;41.6692
Dungu;3.6167
Casalnuovo di Napoli;40.9167
Aguaí;-22.0603
Magdalena de Kino;30.6167
Neftçala;39.3586
Vaduz;47.1410
Sevenoaks;51.2781
Benin City;6.3333
Armant;25.6167
Santanópolis;-12.0169
Yelur;15.7817
Metro;-5.1167
Maigo;8.1500
Villa Literno;41.0096
Gwangmyeongni;37.4760
Annaba;36.9000
Jáltipan de Morelos;17.9703
Łobez;53.6333
Khed Brahma;24.0299
Extrema;-22.8550
Hatonuevo;11.0694
Domchānch;24.4748
Los Hidalgos;19.7300
Bartın;41.6344
Nāgod;24.5692
Venaria Reale;45.1167
Kingersheim;47.7914
Guayama;17.9743
Goleta;34.4361
Laverton;-28.6280
New Castle;39.9191
Mitontic;16.8667
Acatlán;20.4242
San Giuliano Milanese;45.4000
Bethlehem;31.7031
Haderslev;55.2428
Cairo Montenotte;44.4000
Lohafary;-23.2500
Viana;-20.3900
Mattenhof;47.4870
Lianmuqin Kancun;42.8833
Bischofshofen;47.4172
Port Lincoln;-34.7322
Bhānukumāri;26.3395
Nordre Fåle;59.7500
Haverford;39.9868
Krapina;46.1600
Ilıca;39.9458
Oulad Zemam;32.3500
Glastonbury;41.6921
Mariehamn;60.1000
Azové;6.9500
Monteux;44.0356
Pessac;44.8067
Amboasary-Gara;-18.4333
Gotse Delchev;41.5667
Fort Lewis;47.0955
Quatro Barras;-25.3658
Segezha;63.7333
South Salt Lake;40.7057
Boké;10.9400
Balboa;2.0436
Mo i Rana;66.3128
Qufu;35.6000
Palmeira dos Índios;-9.4069
Manerbio;45.3667
Pleszew;51.8833
Smithfield;41.8349
Canindé;-4.3589
Tirupporūr;12.7259
Čadca;49.4358
Changhua;24.0667
Benito Soliven;16.9833
Campinorte;-14.3139
Chełmno;53.3492
Jacinto;-16.1439
Švenčionys;55.1333
Wallingford;51.5990
Philadelphia;40.0077
Jaguari;-29.4969
Dzüünharaa;48.8500
Millerovo;48.9167
Belen;36.4889
São Miguel;-6.2119
Lago Vista;30.4519
Nilo Peçanha;-13.5989
Oulad Embarek;32.2833
Melle;52.2044
Katueté;-24.2481
Andolofotsy;-18.7500
Nandasmo;11.9247
Diemen;52.3333
Toyooka;35.5500
Lausanne;46.5198
Valle de Santiago;20.3928
Ciudad General Escobedo;25.7933
Hallstahammar;59.6167
Fortín de las Flores;18.9000
Hobbs;32.7281
Zoudjamé;6.8167
Qiloane;-29.3625
Bustos;14.9500
San Rafael Oriente;13.3833
Tlacotepec;18.6882
Sestao;43.3108
Su-ngai Kolok;6.0333
Wangtuan;36.8624
Mount Airy;39.3742
Ash Shaddādah;36.0561
Vail;32.0217
Wülfrath;51.2833
Lajedo;-8.6639
Branson;36.6509
Majdel Aanjar;33.7075
Dangbo;6.5000
Carlos Chagas;-17.7028
Reedley;36.5988
Bālkonda;18.8667
Bagé;-31.3308
Colmenarejo;40.5608
Chansolme;19.8833
Londrina;-23.3100
Brand;50.7489
Esperantina;-3.9019
Aizenay;46.7400
Christchurch;-43.5310
São Félix do Xingu;-6.6333
Lyndon;38.2645
Columbus;39.2093
Bardsīr;29.9275
Saßnitz;54.5164
Kaniyūr;11.0930
Verona;45.4386
Manzanillo;19.0522
Analamisampy;-22.4667
Santa Helena de Goiás;-17.8139
Brookings;44.3022
Hiệp Hòa;10.9289
Emirgazi;37.9022
Soquel;36.9978
Hövsan;40.3744
Embu-Guaçu;-23.8322
Mandritsara;-15.8333
Gobindpura;30.2805
Derecik;37.0830
Miguel Calmon;-11.4289
Iradan;40.2600
Magdalena;14.2000
Bajos de Haina;18.4167
Friern Barnet;51.6126
Chelak;39.9203
Siddhirganj;23.6833
Wheatfield;43.0975
Laranjeiras;-10.8061
Anahidrano;-15.0833
Svalyava;48.5472
Monte Quemado;-25.8036
Ambalaroka;-22.1333
Chinna Mushidivāda;17.8057
Álvares Machado;-22.0789
Waynesboro;39.7524
Holiday;28.1864
Inékar;15.9492
Upper Buchanan;5.9161
Rafiganj;24.8200
Huamachuco;-7.8120
Lake Havasu City;34.5006
Oulad Teïma;30.4000
Yardımlı;38.9206
Casandrino;40.9333
Piracaia;-23.0539
Cypress Gardens;28.0036
Al Jabāyish;30.9549
Ciney;50.3000
Bhulath Gharbi;31.5344
Daegu;35.8717
Buzen;33.6167
Lucerne;47.0500
Príncipe da Beira;-12.4167
Hạ Long;20.9500
Asahi;35.0343
Kermān;30.2833
Aldo Bonzi;-34.7083
Aurād;18.2540
Roura;4.7300
Paulínia;-22.7611
Kabale;-1.2500
Reykjavík;64.1467
Ban Wiang Ka Long;19.2332
Nizāmābād;18.6720
Arsikere;13.3139
Muhlenberg;40.3955
Port Alfred;-33.5917
Bhagta;30.4882
Arayat;15.1493
Novotroitsk;51.2039
San Benito Abad;8.9333
Isperih;43.7167
Berazategui;-34.7167
Balta;47.9361
Neno;-15.3981
Ofunato;39.0819
Gázi;35.3250
Lower Gwynedd;40.1880
Manazary;-19.0500
Sunland Park;31.8201
Kara-Suu;40.7000
Xingren;25.4352
Mahād;36.6472
Angostura;6.8667
Nerinjippettai;11.6543
Pine Hill;39.7879
Hortolândia;-22.8583
Amares;41.6167
Sebiston;38.2500
Cartagena;37.6000
Clearfield;41.1030
Minas Novas;-17.2189
Slatina;45.7022
Or Yehuda;32.0333
Erravaram;17.5458
Aweitancun;47.7251
San Casciano in Val di Pesa;43.6569
West Drayton;51.5043
Fuli;23.1333
Ferros;-19.2319
Rājendranagar;17.3198
Cowley;51.5280
Lechang;35.6415
Taketa;32.9667
Ouargaye;11.5000
Cortês;-8.4700
Mucaba;-7.1667
Couva;10.4167
Ban Nong Han;18.9000
Gradačac;44.8789
Montegiardino;43.9089
Aurora;-6.9428
Vechta;52.7306
Kodād;16.9978
Leramatang;-8.4000
Oskaloosa;41.2922
Hullahalli;12.1000
Mudichchur;12.9110
Katsuragi;34.4833
Orbassano;45.0073
